Molecule,Solubility
A-1376,-3.047040
A-1377,-1.869107
A-1381,-1.769197
A-1382,-1.807646
A-1383,-3.020394
A-1385,-0.754146
A-1387,-1.911166
A-1390,-3.329074
A-1397,-4.225004
A-1399,-4.226234
A-1400,-2.854511
A-1401,-3.930174
A-1404,-4.670405
A-1405,-4.883187
A-1407,-4.843928
A-1409,-4.782394
A-1410,-5.133233
A-1411,-4.987826
A-1418,-4.937209
A-1420,-4.941791
A-1422,-5.045264
A-1423,-5.082600
A-1429,-5.022603
A-1431,-5.056118
A-1432,-4.953060
A-1436,-4.954297
A-1440,-4.688327
A-1447,-5.114569
A-1448,-4.959306
A-1449,-5.054394
A-1452,-5.189881
A-1453,-5.023776
A-1461,-5.043933
A-1462,-4.985758
A-1464,-5.308746
A-1466,-3.662354
A-1467,-4.333192
A-1468,-5.000794
A-1470,-5.186602
A-1473,-5.155961
A-1474,-5.045878
A-1475,-5.156095
A-1476,-5.089686
A-1479,-3.033448
A-1481,-2.870074
A-1482,-3.059278
A-1484,-1.821932
A-1485,-2.888798
A-1488,-4.875701
A-1489,-3.097610
A-1490,1.582313
A-1495,-1.723391
A-1496,-2.073730
A-1497,-1.437442
A-1498,-3.172023
A-1501,-4.171446
A-1503,-3.653341
A-1505,-4.524776
A-1506,-3.989168
A-1508,-4.028794
A-1509,-0.952455
A-1510,-3.156501
A-1511,-2.968205
A-1513,-0.798210
A-1515,-3.005249
A-1516,-3.009146
A-1517,-1.902654
A-1518,-3.014810
A-1519,-2.213097
A-1520,-3.006121
A-1523,-2.932852
A-1524,-3.080207
A-1528,-3.046658
A-1532,-1.940151
A-1533,1.037167
A-1538,-2.005111
A-1540,-3.107029
A-1541,-4.016534
A-1542,-3.989118
A-1543,-4.287064
A-1544,-4.407747
A-1545,-4.030164
A-1547,-4.191235
A-1549,-4.030447
A-1550,-4.014710
A-1553,-4.376705
A-1554,-4.003482
A-1556,-4.037431
A-1562,-1.940997
A-1564,-3.017325
A-1565,-3.203337
A-1569,-0.878625
A-1570,-1.977138
A-1576,-2.932040
A-1577,-3.013047
A-1579,-1.947290
A-1585,-4.193381
A-1587,-4.097612
A-1588,-4.116872
A-1591,-4.125654
A-1599,-3.252213
A-1600,-2.930311
A-1601,-3.040285
A-1606,-2.110590
A-1608,-3.187166
A-1612,-2.819168
A-1614,-2.819168
A-1617,-1.974518
A-1619,-3.079764
A-1620,-3.079864
A-1623,-4.045288
A-1624,-4.274778
A-1626,-4.090188
A-1627,-3.990160
A-1628,-4.055961
A-1629,-4.365623
A-1634,-4.027084
A-1635,-4.154196
A-1638,-1.002292
A-1639,-1.229849
A-1640,-1.935501
A-1643,-2.832869
A-1646,-2.111538
A-1647,-3.874597
A-1648,-3.602668
A-1650,-3.285434
A-1651,-3.164148
A-1652,-3.009133
A-1662,-3.003360
A-1665,-3.154769
A-1668,-4.095939
A-1669,-4.197938
A-1670,-4.188748
A-1672,-4.492786
A-1674,-2.451419
A-1677,-2.988795
A-1678,-3.221136
A-1679,-2.157516
A-1680,-1.787846
A-1685,-1.991660
A-1686,-1.922074
A-1687,-3.179312
A-1690,-1.968818
A-1692,-3.403685
A-1693,-3.074152
A-1694,-1.033323
A-1700,-3.137856
A-1701,-3.036152
A-1702,-3.013012
A-1703,-3.262692
A-1704,-4.332499
A-1705,-4.261695
A-1707,-4.239393
A-1708,-3.972930
A-1710,-4.210096
A-1712,-4.225337
A-1713,-4.343078
A-1714,-4.200866
A-1715,-3.845935
A-1716,-1.039380
A-1718,-1.260485
A-1720,0.185260
A-1723,-3.088565
A-1726,-3.117444
A-1727,-3.117444
A-1728,-1.231856
A-1729,0.075283
A-1730,-3.069831
A-1734,-2.847721
A-1735,-3.055600
A-1736,-3.228898
A-1740,-3.158833
A-1741,-2.207650
A-1743,-1.539956
A-1744,-0.845761
A-1746,-3.119597
A-1747,-4.100435
A-1748,-4.187455
A-1749,-4.333140
A-1750,-4.173484
A-1751,-4.246128
A-1753,-4.304855
A-1756,-4.437963
A-1759,-3.255345
A-1762,-1.997252
A-1764,-3.223040
A-1769,-0.988291
A-1772,-2.113595
A-1773,-2.179887
A-1775,-3.072160
A-1776,-1.042878
A-1779,-1.070568
A-1780,-2.096125
A-1781,-2.068094
A-1782,-3.200518
A-1787,-2.552747
A-1789,-2.306932
A-1790,-1.336426
A-1791,-2.048500
A-1792,-3.130955
A-1793,-3.269616
A-1795,-4.146693
A-1796,-4.134294
A-1797,-4.170655
A-1798,-4.323794
A-1799,-4.818703
A-1800,-4.257902
A-1802,-4.472809
A-1806,-3.104157
A-1807,-2.185524
A-1808,-2.405757
A-1809,-3.151505
A-1814,-1.144823
A-1815,-3.081327
A-1816,-3.008082
A-1817,-2.153178
A-1823,-2.000358
A-1826,-3.174187
A-1829,-3.265342
A-1832,-3.451791
A-1833,0.036242
A-1835,-2.722439
A-1839,-4.383890
A-1840,-4.619924
A-1843,-4.281695
A-1844,-4.313552
A-1850,-2.261313
A-1857,-3.324981
A-1859,-2.082970
A-1860,-1.423881
A-1861,-3.258678
A-1863,0.151494
A-1864,-1.315675
A-1865,-1.116108
A-1867,-3.322423
A-1868,-3.204513
A-1870,-1.469073
A-1871,-0.153610
A-1872,-1.052219
A-1873,-3.545271
A-1874,-3.250399
A-1875,-3.286478
A-1877,-1.539016
A-1878,-2.292933
A-1879,-3.332762
A-1881,-3.148706
A-1884,1.012705
A-1885,0.999831
A-1886,0.529296
A-1887,0.753965
A-1890,0.645223
A-1892,1.045169
A-1893,0.652738
A-1896,1.035769
A-1901,-0.479234
A-1902,0.468342
A-1904,-1.182269
A-1907,-2.262733
A-1912,-3.179451
A-1913,-3.206909
A-1914,-3.068746
A-1916,-3.408825
A-1922,-3.301824
A-1925,-4.321140
A-1927,-4.296805
A-1930,-4.201821
A-1931,-4.290934
A-1933,-4.285037
A-1934,-4.023273
A-1939,-4.297336
A-1940,-4.461716
A-1942,-4.566614
A-1953,-4.984746
A-1956,-5.309407
A-1958,-5.379202
A-1959,-5.099488
A-1960,-5.099488
A-1961,-5.172057
A-1967,-5.325018
A-1968,-5.250350
A-1969,-5.238559
A-1973,-5.136722
A-1978,-5.142612
A-1981,-5.263225
A-1982,-5.217951
A-1986,-5.061460
A-1991,-3.247761
A-1994,-5.420152
A-1997,-5.496413
A-1998,-5.311541
A-1999,-5.377541
A-2000,-5.647162
A-2001,-5.284725
A-2004,-5.506568
A-2005,-5.393383
A-2007,-5.010344
A-2008,-2.542361
A-2009,-5.199913
A-2011,-5.151636
A-2012,-5.458398
A-2016,-5.517335
A-2019,-5.371522
A-2025,-5.456575
A-2026,-5.422780
A-2030,-5.335320
A-2032,-5.694106
A-2033,-5.444899
A-2036,-5.738072
A-2037,-5.210428
A-2039,-5.512606
A-2041,-5.566811
A-2042,-5.567720
A-2043,-5.621635
A-2045,-5.401940
A-2046,-5.515282
A-2047,-5.473839
A-2049,-5.835720
A-2053,-5.569346
A-2055,-5.426641
A-2057,-5.488370
A-2060,-5.633056
A-2063,-5.469558
A-2065,-5.289970
A-2073,-5.523636
A-2077,-5.575134
A-2079,-5.451794
A-2083,-5.397515
A-2086,-5.551148
A-2087,-5.462311
A-2089,-5.549793
A-2091,-5.495915
A-2095,-5.496890
A-2096,-5.624838
A-2097,-5.560732
A-2098,-5.683242
A-2099,-5.645385
A-2100,-5.354573
A-2104,-5.747970
A-2106,-5.775274
A-2110,-5.629398
A-2113,-5.790065
A-2115,-5.832680
A-2117,-5.683910
A-2118,-5.671591
A-2119,-6.201435
A-2122,-5.609858
A-2126,-5.848588
A-2129,-5.999482
A-2131,-5.964169
A-2136,-5.767785
A-2137,-5.816819
A-2140,-5.965155
A-2142,-5.791793
A-2143,-6.058169
A-2145,-5.998009
A-2147,-5.787143
A-2149,-6.137134
A-2151,-5.917143
A-2155,-6.017547
A-2157,-5.903790
A-2158,-6.000482
A-2167,-5.982115
A-2169,-5.984242
A-2172,-6.011842
A-2173,-6.461251
A-2176,-6.314069
A-2177,-5.923157
A-2178,-5.984685
A-2179,-5.941561
A-2180,-5.954483
A-2181,-6.167341
A-2183,-6.377738
A-2184,-6.198753
A-2187,-6.354159
A-2188,-6.382030
A-2193,-6.117146
A-2200,-6.239450
A-2201,-6.211736
A-2206,-6.253494
A-2210,-6.230114
A-2217,-6.488909
A-2218,-6.457726
A-2221,-6.480661
A-2225,-6.337262
A-2229,-6.474169
A-2231,-6.477674
A-2232,-6.680445
A-2233,-6.643866
A-2236,-6.812907
A-2238,-6.591929
A-2244,-6.705444
A-2245,-6.649738
A-2246,-6.989136
A-2248,-6.978287
A-2250,-7.016412
A-2251,-2.946604
A-2253,-6.798352
A-2255,-6.979034
A-2257,-6.978908
A-2258,-6.602799
A-2259,-6.602799
A-2260,-6.451762
A-2262,-6.806909
A-2264,-3.009727
A-2267,-6.953686
A-2268,-7.516526
A-2269,-4.779311
A-2270,-6.813503
A-2271,-7.090504
A-2273,-7.025126
A-2274,-7.060548
A-2277,-7.044346
A-2282,-7.505542
A-2283,-2.468825
A-2284,-7.323793
A-2287,-7.328114
A-2288,-4.800974
A-2289,-2.528127
A-2293,-7.591459
A-2294,-7.549181
A-2297,-4.172504
A-2298,-7.627540
A-2299,-3.524244
A-2301,-8.216478
A-2304,-7.830038
A-2307,-4.461780
A-2308,-2.929899
A-2312,-8.386095
A-2313,-6.889187
A-2317,-8.926016
A-2318,-8.997839
A-2319,-9.419540
A-2321,-2.687446
A-2322,-4.523908
A-2334,-4.828233
A-2335,-4.825117
A-2337,-2.696192
A-2342,-5.105291
A-2345,-2.550925
A-2346,-3.919895
A-2347,-3.670340
A-2348,-4.096485
A-2350,-4.386945
A-2352,-0.041921
A-2357,-6.287740
A-2359,-7.133804
A-2363,0.936161
A-2367,-4.341502
A-2377,-3.772570
A-2378,-4.799620
A-2379,-4.652435
A-2380,-3.850854
A-2382,-4.426123
A-2385,-5.387355
A-2387,-7.323687
A-2392,-3.992341
A-2393,-3.992341
A-2394,-3.975117
A-2395,-3.127501
A-2401,-4.177624
A-2402,-4.192880
A-2403,0.850258
A-2404,1.045169
A-2411,-1.964349
A-2413,-7.094152
A-2417,-3.427044
A-2418,-7.801238
A-2420,-5.066534
A-2421,-3.136751
A-2423,-0.124475
A-2424,-2.185091
A-2430,-5.783876
A-2434,-6.201301
A-2436,-5.964586
A-2438,-6.654998
A-2442,-7.985819
A-2443,-4.780941
A-2450,-3.618466
A-2451,-4.975625
A-2453,-4.950432
A-2455,-4.726792
A-2458,-3.845831
A-2463,-1.059161
A-2464,-4.799984
A-2465,-2.593906
A-2466,-3.235079
A-2467,-3.699641
A-2470,-4.918999
A-2471,-5.142667
A-2473,-5.036826
A-2474,-5.062537
A-2476,-5.193520
A-2478,-4.197153
A-2481,-2.544905
A-2482,-5.532538
A-2483,-4.340909
A-2484,-4.220639
A-2485,-4.281954
A-2486,-4.280342
A-2487,-4.381249
A-2488,-4.252612
A-2489,-4.388179
A-2490,-6.623039
A-2491,-5.092559
A-2493,-6.918734
A-2494,-4.376547
A-2500,-5.495120
A-2504,-1.220683
A-2505,-1.225702
A-2506,-2.354800
A-2507,-2.176687
A-2510,-4.270304
A-2511,-4.593750
A-2513,-4.667328
A-2514,-4.140678
A-2517,-4.781756
A-2520,-5.169478
A-2521,-5.513313
A-2525,-5.599171
A-2526,-5.156360
A-2528,-5.386214
A-2532,-5.720055
A-2535,-2.622796
A-2537,-5.460037
A-2538,-5.238696
A-2540,-5.172244
A-2541,-5.661814
A-2543,-4.742403
A-2544,-5.509794
A-2545,-5.352667
A-2546,-5.808172
A-2547,-5.768465
A-2548,-5.513798
A-2549,-5.270304
A-2550,-5.549816
A-2551,-5.613600
A-2552,-5.435323
A-2553,-5.384617
A-2554,-5.499418
A-2555,-5.566509
A-2556,-5.669204
A-2559,-5.822919
A-2561,-5.453968
A-2563,-5.634047
A-2565,-5.593643
A-2566,-5.678834
A-2569,-5.724959
A-2572,-5.708288
A-2573,-5.514028
A-2574,-5.711687
A-2575,-5.450777
A-2577,-5.756557
A-2578,-5.539864
A-2582,-5.475024
A-2584,-5.432169
A-2586,-5.384538
A-2587,-5.549816
A-2589,-5.188357
A-2590,-5.354800
A-2593,-5.790561
A-2594,-6.849324
A-2595,-5.942995
A-2596,-5.771545
A-2597,-5.748198
A-2598,-5.737152
A-2601,-6.057759
A-2602,-5.867640
A-2605,-5.936026
A-2606,-6.099449
A-2607,-5.669893
A-2608,-5.954977
A-2610,-6.163940
A-2614,-6.214228
A-2617,-6.238636
A-2618,-6.412198
A-2619,-6.260770
A-2620,-6.327773
A-2622,-6.417203
A-2623,-6.256078
A-2624,-6.378368
A-2625,-6.553788
A-2626,-6.356031
A-2627,-6.491719
A-2628,-6.422275
A-2629,-6.479738
A-2630,-6.335189
A-2632,-6.820895
A-2633,-6.327741
A-2635,-6.735207
A-2636,-6.517040
A-2637,-6.528392
A-2638,-6.565097
A-2639,-6.621818
A-2641,-6.568875
A-2642,-6.630104
A-2643,-6.600568
A-2644,-6.384617
A-2645,-6.472082
A-2647,-6.558090
A-2648,-6.636031
A-2649,-6.475024
A-2650,-6.297053
A-2651,-7.071018
A-2652,-6.595120
A-2657,-7.138082
A-2658,-6.628142
A-2659,-6.496301
A-2662,-6.621667
A-2664,-6.246331
A-2665,-6.600568
A-2666,-6.514367
A-2673,-6.841088
A-2674,-6.495513
A-2677,-6.700120
A-2678,-4.066887
A-2681,-6.963715
A-2684,-7.284911
A-2685,-6.905874
A-2687,-7.180237
A-2688,-6.933092
A-2689,-7.273926
A-2690,-6.973766
A-2691,-7.248196
A-2692,-6.869905
A-2693,-7.019521
A-2694,-6.973766
A-2695,-7.102471
A-2696,-6.853147
A-2698,-7.074077
A-2699,-6.888808
A-2701,-7.271182
A-2702,-6.899492
A-2703,-6.682020
A-2704,-7.043598
A-2705,-7.068063
A-2706,-7.378019
A-2707,-7.380943
A-2709,-7.123886
A-2710,-6.733128
A-2714,-6.830456
A-2715,-6.860411
A-2720,-6.971983
A-2721,-7.007601
A-2722,-6.832008
A-2723,-7.113399
A-2724,-6.955006
A-2726,-6.867640
A-2727,-6.755088
A-2728,-6.855595
A-2730,-7.071179
A-2731,-7.027707
A-2732,-6.709999
A-2733,-6.981226
A-2734,-7.057520
A-2736,-7.048813
A-2737,-7.134193
A-2738,-7.024811
A-2739,-6.925784
A-2740,-7.292309
A-2743,-4.464546
A-2744,-7.127966
A-2745,-6.979937
A-2747,-7.254043
A-2748,-7.191727
A-2751,-7.202333
A-2752,-7.233105
A-2754,-7.300465
A-2755,-7.397034
A-2756,-7.208651
A-2757,-7.476149
A-2760,-7.315402
A-2761,-7.327107
A-2762,-7.185391
A-2763,-7.312230
A-2764,-7.553792
A-2767,-7.770909
A-2768,-7.663344
A-2769,-7.704078
A-2772,-7.724189
A-2773,-7.804114
A-2775,-7.425089
A-2776,-7.813287
A-2778,-7.861383
A-2779,-7.729153
